번호,프로젝트,속성,카드문장,관련,무관,키
1,"두피 자극 없이 탈모 증상을 완화하는 샴푸","가격 및 구매 조건","'유해 성분 배제'라는 성분 안전성 소구는 프리미엄 가격을 정당화하고, 그 힘으로 대형 유통까지 그대로 확장할 수 있다 → 2021년 칼라일이 지분을 인수하며 10억 달러 가치로 평가받았으나, 경영진 교체·판매원 보상 구조 변경·매스 유통 진출(Ulta 입점) 이후에도 매출은 계속 꺾였다. 칼라일은 2024년 3월 투자금을 상각하고 지분을 채권단에 넘겼고, 창업자가 2024년 4월 압류 매각으로 브랜드 자산을 되사면서 오프라인 매장 폐쇄·감원과 함께 전통 유통에서 손을 떼는 방향을 밝혔다. 그 사이 다수의 독립 판매원이 수수료 급감으로 소득과 조직을 잃었다. (공개 보도 · 추정 포함)",,,"82a411a3-92fa-401f-84c8-d2940fbeb7e3|failed_angle|beautycounter-clean-beauty-mass"
2,"3주 만에 탈모가 멈추고 새 머리가 나는 샴푸","가격 적절성","""중간 유통 없이 디자이너 가구를 주문 후 제작해 합리적인 가격에 배송한다""는 주문생산(on-demand) 소구 → 2021년 상장 이후 공급망 비용 급등과 재고 리스크가 겹치며 자금난이 심화됐고, 매각·투자 유치 시도가 잇따라 실패한 끝에 2022년 11월 법정관리(administration)에 들어가 브랜드·재고가 매각됐다 (공개 보도)",,,"726ac14f-ed53-45ae-b351-71389234966d|failed_angle|madecom-on-demand-furniture"
3,"두피 자극 없이 탈모 증상을 완화하는 샴푸","탈모 증상 완화 효과","퀴즈로 배합을 맞춘 '내 머리 전용' 샴푸는 기성 대량생산 샴푸를 이긴다 — 그래서 자체 공장에서 1인 단위 배합 생산까지 직접 한다 → 2015년 12월 출시해 퀴즈→알고리즘→개별 배합 생산을 자체 시설로 돌렸으나, 2026년 3월 미시간 칼레도니아 생산 공장(6610 Patterson Ave SE)을 연말까지 영구 폐쇄하고 68명을 해고한다고 발표했다. 브랜드는 계속 판매 중이라 '망한 사례'가 아니라 '자체 생산 개인화 모델에서 후퇴한 사례'다. 후퇴 원인(개인화 수요 감소인지 위탁 생산 전환인지)은 보도에 없다 — 인과는 추정이다. 개인화 헤어케어 동종 브랜드 Prose 도 2023년 감원을 겪었다. (공개 보도 · 추정 포함)",,,"cd17bc26-1828-4a39-b357-d53ab37364bb|failed_angle|function-of-beauty-custom-shampoo-plant"
4,"두피 자극 없이 탈모 증상을 완화하는 샴푸","가격 및 구매 조건","e.l.f. Beauty 가 POSITIONING 로 ""프레스티지 제품과의 1:1 가격 대조(11달러 대 38달러 식)를 공시 본문에 넣을 정도로 전면화해서, 브랜드를 따로 설명하지 않아도 '아는 그 제품의 저가판'으로 인지되게 했다. 인지도가 낮은 브랜드가 남의 인지도를 빌리는 방식이다. 같은 기간 순매출은 318.1백만 달러에서 1,023.9백만 달러로 늘었다."" (사실확인 A · 인사이트 A · positive)",,,"82a411a3-92fa-401f-84c8-d2940fbeb7e3|case_move|dbc1aef4-9f62-4769-a839-f7280ef5c168"
5,"유산균 경쟁 분석 (CJ웰케어 바이오코어 건강한 생 유","가격 및 할인 혜택","'어린이 유산균'이라는 이름과 표시 함량으로 부모의 신뢰를 산다 — 유산균 수 표시가 곧 효능 보장이라는 소구 → 2023년 5월 한국소비자원이 어린이 프로바이오틱스 18개 제품(분말 13·츄어블 5)을 비교시험한 결과 아이배냇 '꼬마 유산균 츄어블'만 유산균 수 5,500만 CFU 로 건강기능식품 기준(1억 CFU/g)에 미달했다(나머지 17개는 1일 섭취량당 8억~310억 CFU). 업체는 제품을 단종하고 보유 소비자에게 환불 중이라고 밝혔다. 같은 조사에서 1일 섭취량 기준 가격은 제품별 최대 10배 차이(단일균주 187~1,600원, 복합균주 382~1,933원)였다 — 이름도 가격도 함량을 보장하지 않는다. 소구 문장은 재서술이다. (공개 보도 · 추정 포함)",,,"d5a67aff-6533-4da9-967c-6580fb5820e7|failed_angle|ivenet-kids-probiotic-cfu-shortfall"
6,"두피 자극 없이 탈모 증상을 완화하는 샴푸","정가 체감 가격 및 프로모션","Everlane 가 OFFER 로 ""2017년 4월, 캐시미어 원사 국제 시세가 떨어지자 Preysman 은 '원가가 내리면 가격도 내린다. 남들은 그 차액을 챙기는데 그건 정직하지 않다'고 밝히며 캐시미어 스웨터 소비자가를 $125에서 $100로 실제로 내렸다 — 동시에 '원가가 오르면 우리도 올릴 것'이라고도 공개적으로 약속했다."" (사실확인 C · 인사이트 A · positive)",,,"b7c94e9a-efb5-40e1-acff-efb47c75b90e|case_move|26fc329f-6a74-4956-ad49-7c24fdb62ad8"
7,"두피 자극 없이 탈모 증상을 완화하는 샴푸","지성 두피 피지 케어 및 정수리 냄새 제거","퀴즈로 배합을 맞춘 '내 머리 전용' 샴푸는 기성 대량생산 샴푸를 이긴다 — 그래서 자체 공장에서 1인 단위 배합 생산까지 직접 한다 → 2015년 12월 출시해 퀴즈→알고리즘→개별 배합 생산을 자체 시설로 돌렸으나, 2026년 3월 미시간 칼레도니아 생산 공장(6610 Patterson Ave SE)을 연말까지 영구 폐쇄하고 68명을 해고한다고 발표했다. 브랜드는 계속 판매 중이라 '망한 사례'가 아니라 '자체 생산 개인화 모델에서 후퇴한 사례'다. 후퇴 원인(개인화 수요 감소인지 위탁 생산 전환인지)은 보도에 없다 — 인과는 추정이다. 개인화 헤어케어 동종 브랜드 Prose 도 2023년 감원을 겪었다. (공개 보도 · 추정 포함)",,,"dcff6127-1087-4810-8b08-744fde23f074|failed_angle|function-of-beauty-custom-shampoo-plant"
8,"3주 만에 탈모가 멈추고 새 머리가 나는 샴푸","가격 적절성","e.l.f. Beauty 가 POSITIONING 로 ""프레스티지 제품과의 1:1 가격 대조(11달러 대 38달러 식)를 공시 본문에 넣을 정도로 전면화해서, 브랜드를 따로 설명하지 않아도 '아는 그 제품의 저가판'으로 인지되게 했다. 인지도가 낮은 브랜드가 남의 인지도를 빌리는 방식이다. 같은 기간 순매출은 318.1백만 달러에서 1,023.9백만 달러로 늘었다."" (사실확인 A · 인사이트 A · positive)",,,"726ac14f-ed53-45ae-b351-71389234966d|case_move|dbc1aef4-9f62-4769-a839-f7280ef5c168"
9,"두피 자극 없이 탈모 증상을 완화하는 샴푸","지성 두피 세정력 및 체취 제어","퀴즈로 배합을 맞춘 '내 머리 전용' 샴푸는 기성 대량생산 샴푸를 이긴다 — 그래서 자체 공장에서 1인 단위 배합 생산까지 직접 한다 → 2015년 12월 출시해 퀴즈→알고리즘→개별 배합 생산을 자체 시설로 돌렸으나, 2026년 3월 미시간 칼레도니아 생산 공장(6610 Patterson Ave SE)을 연말까지 영구 폐쇄하고 68명을 해고한다고 발표했다. 브랜드는 계속 판매 중이라 '망한 사례'가 아니라 '자체 생산 개인화 모델에서 후퇴한 사례'다. 후퇴 원인(개인화 수요 감소인지 위탁 생산 전환인지)은 보도에 없다 — 인과는 추정이다. 개인화 헤어케어 동종 브랜드 Prose 도 2023년 감원을 겪었다. (공개 보도 · 추정 포함)",,,"ecab0d88-0869-4cb2-8634-eec3d34cf91b|failed_angle|function-of-beauty-custom-shampoo-plant"
10,"3주 만에 탈모가 멈추고 새 머리가 나는 샴푸","가격 적절성","세계적 메이크업 아티스트의 이름값이면 안료 하나 40달러 고가 프리미엄 가격이 세포라에서 통한다 — 가격 정당화를 아티스트 권위에 거는 소구 → 2015년 10월 출시, 한때 기업가치 10억 달러 이상으로 평가됐다. 2026년 1월 22일 플로리다 남부 연방파산법원에 챕터11 을 신청했고(추정 부채 5천만~1억 달러, 직원 급여 미지급 약 69만 달러) 담보 채권자가 잡았던 1월 27일 자산 경매는 취소됐다. 2026년 4월 17일 법원 승인으로 마이애미의 GDA Luma 가 새 지주회사로 인수했고 총 3천만 달러(DIP 1천만 + 운영자금 2천만)를 조달, 창업자는 CEO 에서 물러나 CCO 로 남았다. 부실의 원인(판매 감소인지 차입 구조인지)은 보도에 명시되지 않았다 — 인과는 추정이다. (공개 보도 · 추정 포함)",,,"726ac14f-ed53-45ae-b351-71389234966d|failed_angle|pat-mcgrath-labs-artist-luxury-pricing"
